C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,C,Anze Kopitar (36808575),Anze Kopitar,36808575,C/UTIL,6400,WPG@LAK 11/27/2024 10:00PM ET,LAK,9.96
,,,,,,,,,,D,Brandt Clarke (36809517),Brandt Clarke,36809517,D/UTIL,6400,WPG@LAK 11/27/2024 10:00PM ET,LAK,12.03
,,,,,,,,,,LW,Jared McCann (36808915),Jared McCann,36808915,W/UTIL,6400,ANA@SEA 11/27/2024 10:00PM ET,SEA,11.61
,,,,,,,,,,LW,Timo Meier (36808919),Timo Meier,36808919,W/UTIL,6300,STL@NJD 11/27/2024 07:00PM ET,NJD,11.04
,,,,,,,,,,C,Dylan Strome (36808577),Dylan Strome,36808577,C/UTIL,6300,WSH@TBL 11/27/2024 07:30PM ET,WSH,11.76
,,,,,,,,,,D,Noah Dobson (36809519),Noah Dobson,36809519,D/UTIL,6300,BOS@NYI 11/27/2024 07:30PM ET,NYI,11.26
,,,,,,,,,,RW,Kevin Fiala (36808921),Kevin Fiala,36808921,W/UTIL,6300,WPG@LAK 11/27/2024 10:00PM ET,LAK,9.20
,,,,,,,,,,D,John Carlson (36809521),John Carlson,36809521,D/UTIL,6200,WSH@TBL 11/27/2024 07:30PM ET,WSH,10.26
,,,,,,,,,,C,Elias Pettersson (36808579),Elias Pettersson,36808579,C/UTIL,6200,VAN@PIT 11/27/2024 07:30PM ET,VAN,10.87
,,,,,,,,,,LW,Brock Boeser (36808923),Brock Boeser,36808923,W/UTIL,6200,VAN@PIT 11/27/2024 07:30PM ET,VAN,10.27
,,,,,,,,,,RW,Bryan Rust (36808925),Bryan Rust,36808925,W/UTIL,6200,VAN@PIT 11/27/2024 07:30PM ET,PIT,9.18
,,,,,,,,,,D,Josh Morrissey (36809523),Josh Morrissey,36809523,D/UTIL,6200,WPG@LAK 11/27/2024 10:00PM ET,WPG,11.25
,,,,,,,,,,D,Shea Theodore (36809525),Shea Theodore,36809525,D/UTIL,6100,VGK@COL 11/27/2024 10:00PM ET,VGK,9.68
,,,,,,,,,,LW,Connor McMichael (36808927),Connor McMichael,36808927,W/UTIL,6100,WSH@TBL 11/27/2024 07:30PM ET,WSH,12.93
,,,,,,,,,,C,Matt Duchene (36808581),Matt Duchene,36808581,C/UTIL,6100,DAL@CHI 11/27/2024 08:30PM ET,DAL,11.65
,,,,,,,,,,RW,Tyler Seguin (36808929),Tyler Seguin,36808929,W/UTIL,6100,DAL@CHI 11/27/2024 08:30PM ET,DAL,11.81
,,,,,,,,,,C,Joel Eriksson Ek (36808583),Joel Eriksson Ek,36808583,C/UTIL,6000,MIN@BUF 11/27/2024 07:00PM ET,MIN,7.87
,,,,,,,,,,LW,Ross Colton (36808931),Ross Colton,36808931,W/UTIL,6000,VGK@COL 11/27/2024 10:00PM ET,COL,14.62
,,,,,,,,,,LW,William Karlsson (36808933),William Karlsson,36808933,W/UTIL,6000,VGK@COL 11/27/2024 10:00PM ET,VGK,10.42
,,,,,,,,,,D,Jake Sanderson (36809527),Jake Sanderson,36809527,D/UTIL,6000,OTT@SJS 11/27/2024 10:30PM ET,OTT,10.67
,,,,,,,,,,RW,Tom Wilson (36808935),Tom Wilson,36808935,W/UTIL,5900,WSH@TBL 11/27/2024 07:30PM ET,WSH,10.14
,,,,,,,,,,C,J.T. Miller (36808585),J.T. Miller,36808585,C/UTIL,5900,VAN@PIT 11/27/2024 07:30PM ET,VAN,9.6
,,,,,,,,,,D,Mike Matheson (36809529),Mike Matheson,36809529,D/UTIL,5900,MTL@CBJ 11/27/2024 07:30PM ET,MTL,10.07
,,,,,,,,,,D,Travis Sanheim (36809531),Travis Sanheim,36809531,D/UTIL,5900,PHI@NSH 11/27/2024 08:00PM ET,PHI,12.43
,,,,,,,,,,RW,Nikolaj Ehlers (36808937),Nikolaj Ehlers,36808937,W/UTIL,5900,WPG@LAK 11/27/2024 10:00PM ET,WPG,12.01
,,,,,,,,,,LW,JJ Peterka (36808939),JJ Peterka,36808939,W/UTIL,5800,MIN@BUF 11/27/2024 07:00PM ET,BUF,9.2
,,,,,,,,,,RW,Logan Stankoven (36808941),Logan Stankoven,36808941,W/UTIL,5800,DAL@CHI 11/27/2024 08:30PM ET,DAL,10.46
,,,,,,,,,,D,Miro Heiskanen (36809533),Miro Heiskanen,36809533,D/UTIL,5800,DAL@CHI 11/27/2024 08:30PM ET,DAL,9.37
,,,,,,,,,,C,Mikael Granlund (36808587),Mikael Granlund,36808587,C/UTIL,5800,OTT@SJS 11/27/2024 10:30PM ET,SJS,13.38
,,,,,,,,,,D,Adam Fox (36809535),Adam Fox,36809535,D/UTIL,5700,NYR@CAR 11/27/2024 07:00PM ET,NYR,8.58
,,,,,,,,,,C,Sean Monahan (36808589),Sean Monahan,36808589,C/UTIL,5700,MTL@CBJ 11/27/2024 07:30PM ET,CBJ,12.24
,,,,,,,,,,LW,Owen Tippett (36808945),Owen Tippett,36808945,W/UTIL,5700,PHI@NSH 11/27/2024 08:00PM ET,PHI,9.06
,,,,,,,,,,LW,Frank Vatrano (36808943),Frank Vatrano,36808943,W/UTIL,5700,ANA@SEA 11/27/2024 10:00PM ET,ANA,9.50
,,,,,,,,,,LW,Tomas Hertl (36808947),Tomas Hertl,36808947,W/UTIL,5600,VGK@COL 11/27/2024 10:00PM ET,VGK,10.57
